full_id,osm_id,osm_type,historic,plaque:type,name2,name1,artwork_type,person:death,person:name,material,width,website,ref:CRFOP,natural,denotation,circumference,inscription:url,layer,tourism,source_ref,flood_mark,flood_date,source:name,url,memorial:type,tower:type,man_made,wikipedia:pl,entrance,location,name:fa,power,backrest,amenity,subject:wikipedia,denomination,tomb,religion,description2,wheelchair:description,wheelchair,toilets:wheelchair,noexit,inscription,image,description,artist_name,wikipedia,wikidata,subject:wikidata,start_date,name:pl,name:en,name:de,name,memorial
n9229935519,"9229935519",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serce Jezusa,statue
n9230304308,"9230304308",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ks. Piotr Wawrzyniak,
n9230691027,"9230691027",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Przedszkole nr 98 ""Słoneczko"" ufundowane ze środków społecznych SFBSiI w 1968 r.",,,,,,,,,,,"Przedszkole nr 98 ""Słoneczko""",plaque
n9230691047,"9230691047",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matka Boża,statue
n9230926530,"9230926530",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W tym gmachu do roku 1939 mieściło się państwowe gimnazjum matematyczno-przyrodnicze im. Bergera,,,,,,,"1978",,,,Miejsce państwowego gimnazjum im. Gotthilfa Bergera,plaque
n9238618673,"9238618673",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablica nauczycieli i młodzieży - uczestników tajnego nauczania,plaque
n9238618674,"9238618674",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablica żołnierzy okręgu poznańskiego Armii Krajowej,plaque
n9238618675,"9238618675",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2008",,,,Tablica wielkopolskich ofiar reżimu komunistycznego,plaque
n9238618676,"9238618676",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007",,,,Tablica nieugiętych Wielkopolan walczących o niepodległość Polski,plaque
n9238618677,"9238618677",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablica poległych harcerek i harcerzy chorągwi wielkopolskich,plaque
n9238618678,"9238618678",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009",,,,Gen. Władysław Anders,plaque
n9238618679,"9238618679",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007",,,,Tablica komendantów sił zbrojnych Polskiego Państwa Podziemnego i żołnierzy Armii Krajowej,plaque
n9238618680,"9238618680",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablica wskrzesicieli idei powrotu państwa polskiego na piastowskie ziemie macierzyste i uczonych środowiska poznańskiego którzy rozwinęli myśl zachodnią,plaque
n9238618681,"9238618681",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tablica zamordowanych i zmarłych działaczy organizacji Ojczyzna ""Omega""",plaque
n9238618682,"9238618682",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablica organizatorów podziemnego państwa polskiego na Ziemiach Zachodnich,plaque
n9238618684,"9238618684",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pamięci tysięcy Polaków, którzy służąc ojczyźnie ponieśli śmierć męczeńską w Ponarach k. Wilna w latach 1941-1944",,,,,,,"2001",,,,Tablica ofiar zbrodni w Ponarach k. Wilna,plaque
n9238618685,"9238618685",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maciej Frankiewicz,plaque
n9238618686,"9238618686",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman Brandstaetter,plaque
n9238618687,"9238618687",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kazimiera Iłłakowiczówna,plaque
n9238618688,"9238618688",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tablice poległych, zamęczonych i zmarłych członków poznańskich korporacji akademickich",plaque
n9238618689,"9238618689",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zygmunt Szweykowski,plaque
n9238618690,"9238618690",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mikołaj Rudnicki,plaque
n9238618691,"9238618691",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-13,,,,Tablica ofiar stanu wojennego,plaque
n9238618692,"9238618692",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brygida Kurbis,plaque
n9238618693,"9238618693",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pamięci naszych rodaków wymordowanych na Wołyniu i w Małopolsce Wschodniej przez nacjonalistów ukraińskich w latach 1943-1947. Towarzystwo Miłośników Lwowa i Kresów Południowo-Wschodnich w Poznaniu.,,,,,,,2013-07,,,,Tablica ofiar zbrodni na Wołyniu i w Małopolsce Wschodniej,plaque
n9238618695,"9238618695",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-11,,,,Tablica rodaków prześladowanych i eksterminowanych w Rosji sowieckiej,plaque
n9238658540,"9238658540",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Józef Stasiński,,,,"1985",,,,Prof. Józef Kostrzewski,plaque
n9238658541,"9238658541",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan III Sobieski,plaque
n9238847787,"9238847787",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2012",,,,Ppłk. Łukasz Ciepliński,plaque
n9238847788,"9238847788",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2012",,,,Rtm. Witold Pilecki,plaque
n9238847789,"9238847789",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2005",,,,Stanisław Kasznica i Lech Neyman,plaque
n9239047321,"9239047321",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osiedle studenckie im-12-Kwietnia dla upamietnienia pierwszego lotu człowieka obywatela Z.S.R.R. w kosmos dokonanego 12-IV-1961. Mieszkancy osiedla,,,,,,,"1962",,,,Pierwszy lot człowieka w kosmos,plaque
n9239047336,"9239047336",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miejsce spoczynku nieznanych ofiar terroru hitlerowskiego,stele
