fid;FUNOGBUD_BZPL;FUNSZCZ_BZPL;FUNOGBUD_PL;FUNSZCZ_PL
35089;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Magazyn;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Magazyn
29167;Budynki O Trzech I Wiecej Mieszkaniach;Apteka, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Apteka, Budynek Wielorodzinny
4521;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Przedszkole;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Przedszkole
19703;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
29011;Budynki Biurowe;Policja;Budynki Biurowe;Policja
11682;Budynki Hoteli;Hotel;Budynki Hoteli;Hotel
27697;Budynki Hoteli;Klub Dyskoteka, Restauracja;Budynki Hoteli;Klub Dyskoteka, Restauracja
19986;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
46301;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
44348;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
29284;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
70726;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
19804;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
22549;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
22233;Budynki Muzeow I Bibliotek;Muzeum;Budynki Muzeów I Bibliotek;Muzeum
70679;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
13831;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
64168;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
63170;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
70669;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
47029;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
4277;Budynki Szpitali I Zakladow Opieki Medycznej;Apteka, Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Apteka, Szpital
4360;Budynki Biurowe;Straz Pozarna;Budynki Biurowe;Straż Pożarna
35659;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa
20344;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa
12289;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa
53420;Budynki Zbiorowego Zamieszkania;Dom Parafialny;Budynki Zbiorowego Zamieszkania;Dom Parafialny
70673;Budynki Szkol I Instytucji Badawczych;Przedszkole;Budynki Szkół I Instytucji Badawczych;Przedszkole
40780;Budynki Szkol I Instytucji Badawczych;Przedszkole;Budynki Szkół I Instytucji Badawczych;Przedszkole
150;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
53725;Ogolnodostepne Obiekty Kulturalne;Dom Kultury;Ogólnodostępne Obiekty Kulturalne;Dom Kultury
12335;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa
12386;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
35861;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
28311;Ogolnodostepne Obiekty Kulturalne;Bank, Filharmonia;Ogólnodostępne Obiekty Kulturalne;Bank, Filharmonia
53512;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
41864;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka, Pawilon Handlowo Usługowy
54411;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
32780;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
64713;Budynki Szkol I Instytucji Badawczych;Obserwatorium Lub Planetarium;Budynki Szkół I Instytucji Badawczych;Obserwatorium Lub Planetarium
63478;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
54155;Budynki Biurowe;Urzad Miasta;Budynki Biurowe;Urząd Miasta
36753;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
45245;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
11854;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
29645;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
32595;Budynki Przemyslowe;Warsztat Remontowo Naprawczy;Budynki Przemysłowe;Warsztat Remontowo Naprawczy
45252;Budynki Lacznosci Dworcow I Terminali;Lokomotywownia Lub Wagonownia;Budynki Łączności Dworców I Terminali;Lokomotywownia Lub Wagonownia
25529;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
34860;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy, Placowka Ochrony Zdrowia;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy, Placówka Ochrony Zdrowia
53320;Budynki Szkol I Instytucji Badawczych;Przedszkole;Budynki Szkół I Instytucji Badawczych;Przedszkole
12827;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
48445;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
35585;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
45464;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
4219;Budynki Kultury Fizycznej;Sala Gimnastyczna;Budynki Kultury Fizycznej;Sala Gimnastyczna
