fid;FUNOGBUD_BZPL;FUNSZCZ_BZPL;FUNOGBUD_PL;FUNSZCZ_PL
46181;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
70668;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka, Pawilon Handlowo Usługowy
28426;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka, Pawilon Handlowo Usługowy
22299;Pozostale Budynki Niemieszkalne;Stacja Pomp;Pozostale Budynki Niemieszkalne;Stacja Pomp
70666;Budynki Przemyslowe;Elektrocieplownia;Budynki Przemysłowe;Elektrocieplownia
48974;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
65734;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny
30705;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny
29098;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
47394;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
35858;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
11715;Budynki Muzeow I Bibliotek;Muzeum;Budynki Muzeów I Bibliotek;Muzeum
63087;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
46754;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
22859;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
30853;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
35460;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
3161;Ogolnodostepne Obiekty Kulturalne;Dom Kultury, Klub Dyskoteka;Ogólnodostępne Obiekty Kulturalne;Dom Kultury, Klub Dyskoteka
44745;Budynki Handlowo Uslugowe;Apteka, Centrum Handlowe;Budynki Handlowo Usługowe;Apteka, Centrum Handlowe
4538;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
68903;Budynki Przemyslowe;Elektrocieplownia;Budynki Przemysłowe;Elektrocieplownia
22596;Budynki Przemyslowe;Elektrocieplownia;Budynki Przemysłowe;Elektrocieplownia
64811;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy
12830;Budynki Lacznosci Dworcow I Terminali;Dworzec Kolejowy;Budynki Łączności Dworców I Terminali;Dworzec Kolejowy
31076;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
40449;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
57347;Budynki Zbiorowego Zamieszkania;Klasztor, Placowka Ochrony Zdrowia, Szkola Ponadpodstawowa;Budynki Zbiorowego Zamieszkania;Klasztor, Placówka Ochrony Zdrowia, Szkoła Ponadpodstawowa
23484;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
58708;Budynki Zbiorowego Zamieszkania;Klasztor;Budynki Zbiorowego Zamieszkania;Klasztor
17293;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
70674;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
58462;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
29409;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny, Pawilon Handlowo Usługowy
3482;Budynki Muzeow I Bibliotek;Biblioteka;Budynki Muzeów I Bibliotek;Biblioteka
28493;Budynki Muzeow I Bibliotek;Biblioteka, Placowka Dyplomatyczna Lub Konsularna;Budynki Muzeów I Bibliotek;Biblioteka, Placówka Dyplomatyczna Lub Konsularna
45428;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Restauracja;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Restauracja
54919;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
50602;Budynki Szkol I Instytucji Badawczych;Placowka Ochrony Zdrowia, Przedszkole, Szkola Podstawowa;Budynki Szkół I Instytucji Badawczych;Placówka Ochrony Zdrowia, Przedszkole, Szkoła Podstawowa
31144;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
28729;Ogolnodostepne Obiekty Kulturalne;Dom Kultury;Ogólnodostępne Obiekty Kulturalne;Dom Kultury
35073;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
4462;Budynki Kultu Religijnego;Dzwonnica;Budynki Kultu Religijnego;Dzwonnica
52091;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
43673;Budynki Zbiorowego Zamieszkania;Placowka Opiekunczo Wychowawcza, Przedszkole, Szkola Podstawowa, Szkola Ponadpodstawowa;Budynki Zbiorowego Zamieszkania;Placówka Opiekunczo Wychowawcza, Przedszkole, Szkoła Podstawowa, Szkoła Ponadpodstawowa
70080;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa, Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa, Szkoła Ponadpodstawowa
70704;Budynki Zbiorowego Zamieszkania;Placowka Opiekunczo Wychowawcza, Przedszkole, Szkola Podstawowa, Szkola Ponadpodstawowa;Budynki Zbiorowego Zamieszkania;Placówka Opiekunczo Wychowawcza, Przedszkole, Szkoła Podstawowa, Szkoła Ponadpodstawowa
68639;Budynki Kultury Fizycznej;Sala Gimnastyczna;Budynki Kultury Fizycznej;Sala Gimnastyczna
59741;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa, Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa, Szkoła Ponadpodstawowa
66288;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa, Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa, Szkoła Ponadpodstawowa
3929;Budynki Biurowe;Bank, Placowka Operatora Pocztowego, Siedziba Firmy Lub Firm;Budynki Biurowe;Bank, Placówka Operatora Pocztowego, Siedziba Firmy Lub Firm
55732;Budynki Hoteli;Hotel, Pawilon Handlowo Uslugowy, Placowka Dyplomatyczna Lub Konsularna;Budynki Hoteli;Hotel, Pawilon Handlowo Usługowy, Placówka Dyplomatyczna Lub Konsularna
64047;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
3480;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
11934;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
20201;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
28553;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Restauracja;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Restauracja
54311;Budynki Handlowo Uslugowe;Pawilon Handlowo Uslugowy;Budynki Handlowo Usługowe;Pawilon Handlowo Usługowy
11683;Ogolnodostepne Obiekty Kulturalne;Dom Kultury;Ogólnodostępne Obiekty Kulturalne;Dom Kultury
35371;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
34092;Budynki O Trzech I Wiecej Mieszkaniach;Apteka, Bank, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Apteka, Bank, Budynek Wielorodzinny
55098;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
20319;Budynki Szpitali I Zakladow Opieki Medycznej;Placowka Ochrony Zdrowia;Budynki Szpitali I Zakładów Opieki Medycznej;Placówka Ochrony Zdrowia
29021;Budynki Muzeow I Bibliotek;Archiwum;Budynki Muzeów I Bibliotek;Archiwum
11493;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
3535;Budynki Zbiorowego Zamieszkania;Dom Parafialny;Budynki Zbiorowego Zamieszkania;Dom Parafialny
45554;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
62460;Budynki Zbiorowego Zamieszkania;Klasztor;Budynki Zbiorowego Zamieszkania;Klasztor
36552;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
11705;Budynki Muzeow I Bibliotek;Muzeum;Budynki Muzeów I Bibliotek;Muzeum
108;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Restauracja;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Restauracja
54388;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
23139;Budynek Zabytkowy;Zabytek Bez Funkcji Uzytkowej;Budynek Zabytkowy;Zabytek Bez Funkcji Użytkowej
54255;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
35770;Budynki Szpitali I Zakladow Opieki Medycznej;Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Szpital
35424;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
53810;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
12391;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
29389;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
36196;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
53696;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
65042;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
63424;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
3753;Budynki Biurowe;Pawilon Handlowo Uslugowy, Przedszkole, Siedziba Firmy Lub Firm;Budynki Biurowe;Pawilon Handlowo Usługowy, Przedszkole, Siedziba Firmy Lub Firm
20558;Budynki Szpitali I Zakladow Opieki Medycznej;Placowka Ochrony Zdrowia;Budynki Szpitali I Zakładów Opieki Medycznej;Placówka Ochrony Zdrowia
46849;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
3706;Budynki Szkol I Instytucji Badawczych;Placowka Badawcza;Budynki Szkół I Instytucji Badawczych;Placówka Badawcza
2043;Budynki Hoteli;Hotel;Budynki Hoteli;Hotel
53522;Budynki Hoteli;Hotel;Budynki Hoteli;Hotel
19043;Budynki Hoteli;Restauracja;Budynki Hoteli;Restauracja
70702;Budynki Hoteli;Hotel;Budynki Hoteli;Hotel
35859;Budynki Hoteli;Hotel;Budynki Hoteli;Hotel
34655;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
27967;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
28855;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
19977;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
9149;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
66981;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny
64227;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
42034;Budynki Lacznosci Dworcow I Terminali;Zajezdnia Tramwajowa;Budynki Łączności Dworców I Terminali;Zajezdnia Tramwajowa
20387;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
45177;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
28157;Ogolnodostepne Obiekty Kulturalne;Dom Kultury;Ogólnodostępne Obiekty Kulturalne;Dom Kultury
70727;Budynki Biurowe;Siedziba Firmy Lub Firm, Szkola Wyzsza;Budynki Biurowe;Siedziba Firmy Lub Firm, Szkoła Wyższa
53875;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
62933;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
62561;Budynki Biurowe;Siedziba Firmy Lub Firm, Szkola Wyzsza;Budynki Biurowe;Siedziba Firmy Lub Firm, Szkoła Wyższa
36942;Ogolnodostepne Obiekty Kulturalne;Budynek Ogrodu Zoo Lub Botanicznego;Ogólnodostępne Obiekty Kulturalne;Budynek Ogródu Zoo Lub Botanicznego
63698;Ogolnodostepne Obiekty Kulturalne;Budynek Ogrodu Zoo Lub Botanicznego;Ogólnodostępne Obiekty Kulturalne;Budynek Ogródu Zoo Lub Botanicznego
27879;Ogolnodostepne Obiekty Kulturalne;Budynek Ogrodu Zoo Lub Botanicznego;Ogólnodostępne Obiekty Kulturalne;Budynek Ogródu Zoo Lub Botanicznego
64224;Ogolnodostepne Obiekty Kulturalne;Budynek Ogrodu Zoo Lub Botanicznego;Ogólnodostępne Obiekty Kulturalne;Budynek Ogródu Zoo Lub Botanicznego
11310;Ogolnodostepne Obiekty Kulturalne;Budynek Ogrodu Zoo Lub Botanicznego;Ogólnodostępne Obiekty Kulturalne;Budynek Ogródu Zoo Lub Botanicznego
53508;Ogolnodostepne Obiekty Kulturalne;Budynek Ogrodu Zoo Lub Botanicznego;Ogólnodostępne Obiekty Kulturalne;Budynek Ogródu Zoo Lub Botanicznego
55281;Ogolnodostepne Obiekty Kulturalne;Budynek Ogrodu Zoo Lub Botanicznego;Ogólnodostępne Obiekty Kulturalne;Budynek Ogródu Zoo Lub Botanicznego
36014;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy
19907;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
11656;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
3802;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny
59403;Budynki Zbiorowego Zamieszkania;Dom Parafialny;Budynki Zbiorowego Zamieszkania;Dom Parafialny
37911;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
62753;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
32525;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny
10148;Budynek Gospodarstwa Rolnego;Stajnia;Budynek Gospodarstwa Rolnego;Stajnia
53823;Budynki Garazy;Garaz;Budynki Garaży;Garaz
43820;Budynki Handlowo Uslugowe;Pawilon Handlowo Uslugowy;Budynki Handlowo Usługowe;Pawilon Handlowo Usługowy
26986;Budynki Hoteli;Restauracja;Budynki Hoteli;Restauracja
55823;Budynki Szpitali I Zakladow Opieki Medycznej;Apteka, Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Apteka, Szpital
12280;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
44531;Budynki Szkol I Instytucji Badawczych;Przedszkole, Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Przedszkole, Szkoła Ponadpodstawowa
53676;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
53908;Budynki O Trzech I Wiecej Mieszkaniach;Apteka, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Apteka, Budynek Wielorodzinny
65058;Budynki Biurowe;Inny Urzad Administracji Publicznej;Budynki Biurowe;Inny Urząd Administracji Publicznej
19918;Budynki Muzeow I Bibliotek;Muzeum, Placowka Badawcza;Budynki Muzeów I Bibliotek;Muzeum, Placówka Badawcza
70667;Budynki Muzeow I Bibliotek;Muzeum, Placowka Badawcza;Budynki Muzeów I Bibliotek;Muzeum, Placówka Badawcza
12072;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
3720;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa
64236;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa
20167;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
63000;Budynki Kultu Religijnego;Kaplica;Budynki Kultu Religijnego;Kaplica
21009;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
